dataset,defense,feature_set,error_bound,epsilon,closed_world
liberatore,session-random-255,liberatore,0.06465998307602047,0.12931996615204094,False
liberatore,session-random-255,herrmann,0.13115528499963558,0.26231056999927116,False
liberatore,session-random-255,panchenko,0.035728549957117876,0.07145709991423575,False
liberatore,session-random-255,vng++,0.037188341037515234,0.07437668207503047,False
liberatore,session-random-255,CUMUL,0.02673662172215533,0.05347324344431066,False
liberatore,packet-random-255,liberatore,0.054881752680435686,0.10976350536087137,False
liberatore,packet-random-255,herrmann,0.13789192563320105,0.2757838512664021,False
liberatore,packet-random-255,panchenko,0.023694006848927262,0.047388013697854524,False
liberatore,packet-random-255,vng++,0.03131041864579713,0.06262083729159426,False
liberatore,packet-random-255,CUMUL,0.02531011046610223,0.05062022093220446,False
liberatore,none,liberatore,0.016031144483173273,0.032062288966346546,False
liberatore,none,herrmann,0.013573670494208254,0.027147340988416507,False
liberatore,none,panchenko,0.016630328001530796,0.03326065600306159,False
liberatore,none,vng++,0.026532979581101054,0.05306595916220211,False
liberatore,none,CUMUL,0.024940204821201916,0.04988040964240383,False
liberatore,session-random-gaussian,liberatore,0.12292195228598132,0.24584390457196265,False
liberatore,session-random-gaussian,herrmann,0.2957527126052485,0.591505425210497,False
liberatore,session-random-gaussian,panchenko,0.0369816109898779,0.0739632219797558,False
liberatore,session-random-gaussian,vng++,0.029630674578084368,0.059261349156168736,False
liberatore,session-random-gaussian,CUMUL,0.026847133626687208,0.053694267253374416,False
liberatore,packet-random-gaussian,liberatore,0.14999100502482832,0.29998201004965663,False
liberatore,packet-random-gaussian,herrmann,0.25311362796816633,0.5062272559363327,False
liberatore,packet-random-gaussian,panchenko,0.02191365244165295,0.0438273048833059,False
liberatore,packet-random-gaussian,vng++,0.0270713138130641,0.0541426276261282,False
liberatore,packet-random-gaussian,CUMUL,0.02558470936940471,0.05116941873880942,False
liberatore,session-random-255,liberatore,0.05662391905434447,0.11324783810868894,False
liberatore,session-random-255,herrmann,0.12659665185008032,0.25319330370016063,False
